Nom,Categoria,Tipologia,Ubicació,Horari,Preu
Street Food Valencia,Restaurant,Cuina ràpida,Terminal A - Porta 29,06:00–22:00,€
El Racó Verd,Botiga,Productes naturals,Terminal A - Porta 7,09:00–21:00,€€
Moda Pauline,Botiga,Moda,Terminal A - Porta 1,06:00–22:00,€€€
QuickBite Teruel,Restaurant,Cuina ràpida,Terminal A - Porta 16,06:00–22:00,€
Pasta & Santino,Restaurant,Cuina italiana,Terminal A - Porta 20,06:00–22:00,€€
La Tassa de Trinidad,Restaurant,Cafeteria,Terminal A - Porta 27,10:00–20:00,€€
Natura Salamanca,Botiga,Productes naturals,Terminal A - Porta 13,10:00–20:00,€€
Aromes Charles,Botiga,Perfumeria,Terminal A - Porta 15,07:00–23:00,€€€
La Tavola di Tonia,Restaurant,Cuina italiana,Terminal A - Porta 26,07:00–23:00,€€€
Alfio al Forno,Restaurant,Cuina italiana,Terminal A - Porta 12,10:00–20:00,€€
Natura Burgos,Botiga,Productes naturals,Terminal A - Porta 16,07:00–23:00,€€
Botiga Bio Ceuta,Botiga,Productes naturals,Terminal A - Porta 20,09:00–21:00,€€
Street Food Madrid,Restaurant,Cuina ràpida,Terminal A - Porta 15,07:00–23:00,€
Organic Shop,Botiga,Productes naturals,Terminal A - Porta 17,07:00–23:00,€
Pasta & Margherita,Restaurant,Cuina italiana,Terminal A - Porta 3,06:00–22:00,€€
Essències de Boutin,Botiga,Perfumeria,Terminal A - Porta 21,06:00–22:00,€€
La Tavola di Sante,Restaurant,Cuina italiana,Terminal A - Porta 25,09:00–21:00,€€
EcoMarket Guadalupe,Botiga,Productes naturals,Terminal A - Porta 24,06:00–22:00,€
Natura Teruel,Botiga,Productes naturals,Terminal A - Porta 19,10:00–20:00,€
Latte Time,Restaurant,Cafeteria,Terminal A - Porta 1,09:00–21:00,€
Bocateria Natalio,Restaurant,Cuina ràpida,Terminal A - Porta 15,06:00–22:00,€
Sabor d’Estiu,Restaurant,Mediterrània,Terminal A - Porta 12,06:00–22:00,€€
Aromes Claire,Botiga,Perfumeria,Terminal A - Porta 10,09:00–21:00,€€
Go! Carlota,Restaurant,Cuina ràpida,Terminal A - Porta 12,10:00–20:00,€
Temps de Lectura,Botiga,Premsa i llibres,Terminal A - Porta 29,06:00–22:00,€€
El Racó del Mar,Restaurant,Mediterrània,Terminal A - Porta 19,06:00–22:00,€€
Llibres Edmundo,Botiga,Premsa i llibres,Terminal A - Porta 14,10:00–20:00,€€
Bon Cafè Albacete,Restaurant,Cafeteria,Terminal A - Porta 23,07:00–23:00,€
Delícies de Albacete,Restaurant,Mediterrània,Terminal A - Porta 18,06:00–22:00,€€
Botiga Bio Barcelona,Botiga,Productes naturals,Terminal A - Porta 9,10:00–20:00,€
Lectura+ Sevilla,Botiga,Premsa i llibres,Terminal A - Porta 7,09:00–21:00,€
L’essència de Pénélope,Botiga,Perfumeria,Terminal A - Porta 5,06:00–22:00,€€€
Vestir Bé,Botiga,Moda,Terminal A - Porta 13,06:00–22:00,€€
Go! Miguel,Restaurant,Cuina ràpida,Terminal A - Porta 2,09:00–21:00,€
Cuina Italiana Lisio,Restaurant,Cuina italiana,Terminal A - Porta 16,09:00–21:00,€€€
La Taula del Sol,Restaurant,Mediterrània,Terminal A - Porta 4,10:00–20:00,€€
Style & Luc,Botiga,Moda,Terminal A - Porta 15,09:00–21:00,€€
Coffee & Timoteo,Restaurant,Cafeteria,Terminal A - Porta 3,09:00–21:00,€€
Essències de Valette,Botiga,Perfumeria,Terminal A - Porta 10,09:00–21:00,€€€
Sabors de Málaga,Restaurant,Mediterrània,Terminal A - Porta 19,10:00–20:00,€€
Aromes Élise,Botiga,Perfumeria,Terminal A - Porta 6,06:00–22:00,€€
Menjar Ràpid Guipúzcoa,Restaurant,Cuina ràpida,Terminal A - Porta 10,07:00–23:00,€
