Tipus;Instruccions;Seguretat;Evitar;Ajuda
Ofegament aigua;"1. Sortir aigua
2. Comprovar respiració
3. RCP si necessari
4. Posició lateral";"Assegurar escena
Mantenir abrigat";"Intent aspirar aigua
Deixar sola la persona";Emergències: 112
Tall greu;"1. Pressió directa
2. Elevar membre
3. Neteja superficial
4. Cobrir amb estèril";"Utilitzar guants
Controlar profunditat";"Utilitzar torniquet innecessari
Aplicar substàncies";Centres de salut urgents
Picada vespa/al·lergica;"1. Treure agulló
2. Netejar zona
3. Aplicar fred
4. Monitorar reacció";"Identificar insecte
Controlar inflamació";"Esprémer zona
Utilitzar torniquet";Emergències si dificultat respiratòria
Desmai;"1. Col·locar lateral
2. Aflonar roba
3. Elevar peus
4. Comprovar respiració";"Controlar via aèria
Buscar lesions";"Donar menjar/aigua
Golpejar persona";Emergències si no recupera en 2 min
Crisi epilèptica;"1. Protegir cap
2. Allunyar objectes
3. Cronometrar temps
4. Posició lateral post-crisi";"Espai ventilat
No contenir moviments";"Posar objectes a boca
Donar medicació oral durant crisi";Emergències si dura +5 min
Intoxicació medicamentosa;"1. Identificar substància
2. No induir vòmit
3. Guardar envas
4. Monitorar constants";"Quantitat ingerida
Hora ingesta";"Remedis casolans
Donar llet";Centre Antiverins: 915 620 420
Accident elèctric domèstic;"1. Tallar corrent
2. Allunyar amb fusta
3. Comprovar consciència
4. RCP si cal";"No tocar persona connectada
Utilitzar material no conductor";"Aigua propera
Activar interruptors";Emergències: 112
Fractura oberta;"1. No reduir fractura
2. Cobrir amb estèril
3. Immobilitzar
4. Aplicar fred";"Controlar hemorràgia
Prevenir xoc";"Moure extremitat
Intentar 'recol·locar'";Emergències: 112
Hipotèrmia;"1. Refugi càlid
2. Cobriment progressiu
3. Begudes calentes
4. Contacte pell-pell si cal";"Evitar escalfament ràpid
Controlar constants";"Fregar extremitats
Alcohol";Emergències: 112
Golp de calor;"1. Lloc fresc
2. Desvestir
3. Refredar amb aigua
4. Hidratar si conscient";"Controlar temperatura
Posició lateral";"Aigua gelada
Medicaments antifebrils";Emergències: 112
Accident amb animals verinosos;"1. Immobilitzar membre
2. Netejar zona
3. Posició neutra
4. Transport urgent";"Identificar animal
Controlar inflamació";"Tallar/succionar verí
Aplicar torniquet";Centre Antiverins: 915 620 420
Emergència psiquiàtrica;"1. Espai tranquil
2. Evitar confrontació
3. Parar autolesions
4. Esperar ajuda";"Mantenir distància segura
Retirar objectes perillosos";"Sobreactuar
Minimitzar sentiments";Salut Mental: 024
Emergència diabètica;"1. Identificar si hipo/hiperglucèmia
2. Administrar sucre/insulina segons cas
3. Posició lateral
4. Monitorar consciència";"Controlar nivells si possible
Prevenir aspiració";"Insulina en hipoglucèmia
Sucre en inconsciència";Emergències: 112
